title,marka,model,catalog_number,prices,item_id,group0,group1,group2,group3,group4,group5,parts_number_v2,number,avito_marka,avito_model,SparePartType,TechnicSparePartType,stock_id,orig_day
Сальник вала гидромотора хода Komatsu PC 300,komatsu,PC300,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,комплект уплотнений,,300,komatsu,PC300,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Корпус редуктора хода Hyundai R300/330,hyundai,R300,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,корпус,,300,hyundai,R 300LC-9S,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Запчасти в редуктор хода CAT,cat,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,!,,,cat,6120B H FS,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Редуктор хода New Holland Kobelco SK210/SK250/330,kobelco,,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,,volvo,ECR235CL,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Гидроцилиндр рукояти хендай R360LC-7 31NA-50132,hyundai,R360LC-7,31na-50132,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,31na-50132,360,hyundai,R 360LC-7,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Гидроцилиндр ковша JCB220/JCB240/JCB260/JCB330,jcb,JS 220,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,220,jcb,JS 220,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
21EN-32340 шаговый мотор хендай Hyundai,hyundai,,21en-32340,,,система двигателя,топливная система,шаговый мотор,,,,21en-32340,,hyundai,ROBEX 210 LC,Двигатели и комплектующие,Топливная система,,2024-02-03
Муфта основного насоса Doosan Solar эластичная,doosan,,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,муфта,,,doosan,DX140LC,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидравлический цилиндр ковша Hyundai R250 LC-7,hyundai,R250LC-7,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,250,hyundai,R 250LC-7,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Насос основной Hyundai R330/320/290/260/220/210,hyundai,R330,,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,,330,hyundai,R 330LC-9S,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Помпа /водяной насос экскаватора CAT 320 D2 L,cat,320,,,,запчасти двигателя,насос водяной,,,,,,320,cat,320,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Мотор печки кабины Komatsu,komatsu,,,,,система двигателя,печка,,,запчасти,мотор печки,,,komatsu,PC600-7,Двигатели и комплектующие,Система кондиционирования и отопления,,2024-02-03
Диск сцепления Komatsu D65,komatsu,D65E-12,,,,трансмиссия,диск,диск сцепления,,,,,65,komatsu,D65E-12,Трансмиссия,Подшипники и крестовины,,2024-02-03
Подшипник редуктора хода CAT 325,cat,325,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,подшипник,,325,cat,325,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Ремень клиновой приводный Doosan Solar,doosan,,,,,запчасти двигателя,ремни и ролики,ремень привода,,,,,,doosan,DX6OR,Двигатели и комплектующие,ГРМ,,2024-02-03
Бортовая Volvo EC 360 B LC,volvo,EC360,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,360,volvo,EC360,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Запчасти двигателя CAT,cat,,,,,запчасти двигателя,!,,,,,,,cat,330 GC,Двигатели и комплектующие,Двигатели в сборе,,2024-02-03
Редуктор хода Hitachi ZX180,hitachi,ZX180,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,180,hitachi,ZX180W,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Радиатор Volvo EC 360,volvo,EC360,,,,система двигателя,радиатор,,,целиком,,,360,volvo,EC360,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Гидроцилиндры вольво Volvo EC380DL,volvo,EC380DL,,,,гидравлический компонент,гидроцилиндр,!,,целиком,,,380,volvo,EC380DL,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Насос активации форсунок CAT 3190678/319-0678,cat,,319-0678,,,запчасти двигателя,форсунка,,,,,3190678,,cat,225B LC,Двигатели и комплектующие,Система впуска,,2024-02-03
Основной насос Doosan 225 /401-00356,doosan,225,,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,401-00356,225,doosan,DX225LCA,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Эластичная муфта гидронасоса Hyundai,hyundai,,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,муфта,,,hyundai,ROBEX 1800 LC-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидроцилиндр ковша хитачи Hitachi ZX 450-3,hitachi,ZX450-3,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,450,hitachi,ZX450-3,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Гидроцилиндр ковша хитачи ZX 330 4611475,hitachi,ZX330,4611475,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,4611475,330,hitachi,ZX330,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Запчасти двигателя Hyundai R170W,hyundai,R170W-7,,,,запчасти двигателя,!,,,,,,170,hyundai,R170W-7,Двигатели и комплектующие,Двигатели в сборе,,2024-02-03
Натяжитель komatsu PC-220,komatsu,PC220-7,,,,ходовая часть,натяжитель,натяжитель в сборе,,,,,220,komatsu,PC220-7,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Тнвд doosan 225LC-V solar,doosan,SOLAR 225NLC-V,,,,система двигателя,топливная система,насос топливный,,запчасти,топливный насос высокого давления,,225,doosan,SOLAR 225NLC-V,Двигатели и комплектующие,Топливная система,,2024-02-03
VOE14577124 главный насос Volvo EC240,volvo,EC240,14577124,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,voe14577124,240,volvo,EC240,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Пальцы втулки Komatsu PC-300,komatsu,PC300,,,,рабочее оборудование,пальцы и втулки,!,,,,,300,komatsu,PC300,Для навесного оборудования,,,2024-02-03
Гидравлический цилиндр рукояти Hyundai R290 LC-7,hyundai,R290LC-7,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,290,hyundai,R 290LC-7,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Гидроцилиндр для экскаватора хитачи Hitachi,hitachi,,,,,гидравлический компонент,гидроцилиндр,!,,целиком,,,,hitachi,ZX870LCH-5,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Первая планетарка редуктора хода Hyundai R160-9S,hyundai,R160LC-9S,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,шестерня,,160,hyundai,R 160LC-9S,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Гидравлический цилиндр рукояти Hitachi ZX 200 LC-3,hitachi,EX200-3,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,200,hitachi,ZX200-3,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Головка блока цилиндров экскаватора JCB,jcb,,,,,запчасти двигателя,головка блока цилиндров,,,,,,,jcb,JS 160W,Двигатели и комплектующие,"Блоки цилиндров, ГБЦ и картеры",,2024-02-03
Гидроцилиндр ковша Hitachi ZX180/ZX200/ZX240/ZX330,hitachi,ZX180,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Бортовая Hyundai R250LC-7,hyundai,R250LC-7,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,250,hyundai,R 250LC-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Наконечник рулевой Hyundai R170W/180W,hyundai,R170W-7,,,,рабочее оборудование,ковшевой узел,коронка,,,,,170,hyundai,R170W-7,Для навесного оборудования,,,2024-02-03
Гидронасос основной Volvo EC 240 B LC,volvo,EC240,,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,,240,volvo,EC240,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Насос активации управления форсунок CAT 330,cat,330,,,,запчасти двигателя,форсунка,,,,,,330,cat,330,Двигатели и комплектующие,Система впуска,,2024-02-03
Поворотный круг CAT 318,cat,318,,,,комплектующие рамы,круг,,,целиком,,,318,cat,318,"Рамы, кузова и надстройки",Рамы и лонжероны,,2024-02-03
Гидроцилиндр ковша дусан Doosan DX225LC,doosan,DX225LCA,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,225,doosan,DX225LCA,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Муфта/втулка шлицевая xkaq-00215,hyundai,,xkaq-00215,,,!,муфта,,,,,xkaq-00215,,hyundai,R170W-9S,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Гидравлический цилиндр рукояти Hyundai R210 LC-7,hyundai,R210LC-7,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,210,hyundai,R 210LC-7,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Крестовина кардана Doosan Solar 170/225/255/340,doosan,SOLAR 170W-V,,,,!,крестовина,,,,,,170,doosan,Daewoo SOLAR 170LC-V,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Xkay-00448 вал гидромотора хода Hyundai R210,hyundai,R210,xkay-00448,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,xkay-00448,210,hyundai,R 210-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Бортовой редуктор хендай R360LC-7,hyundai,R360LC-7,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,360,hyundai,R 360LC-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Шаговый мотор Komatsu PC400,komatsu,PC400-7,,,,система двигателя,топливная система,шаговый мотор,,,,,400,komatsu,PC400-7,Двигатели и комплектующие,Топливная система,,2024-02-03
Палец Caterpillar 330Ковш - рукоять,cat,330,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы ковшевой обвязки,палец ковш-рукоять,,,330,cat,330,Для навесного оборудования,,,2024-02-03
Гидравлический цилиндр стрелы Hyundai R210 LC-7,hyundai,R210LC-7,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр стрелы,,целиком,,,210,hyundai,R 210LC-7,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Гидроцилиндры дусан Doosan DX520LC,doosan,DX520LC,,,,гидравлический компонент,гидроцилиндр,!,,целиком,,,520,doosan,DX520LC,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Запчасти двигателя экскаватора Doosan DX225,doosan,DX225LCA,,,,запчасти двигателя,!,,,,,,225,doosan,DX225LCA,Двигатели и комплектующие,Двигатели в сборе,,2024-02-03
Генератор Doosan Solar 225/255,doosan,SOLAR 225LL,,,,запчасти двигателя,генератор,,,,,,225,doosan,SOLAR 225NLC-V,Двигатели и комплектующие,Стартеры и генераторы,,2024-02-03
Гидравлический цилиндр рукояти Hyundai R250 LC-7,hyundai,R250LC-7,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,250,hyundai,R 250LC-7,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Форсунка экскаватора Hyundai R250 LC-7,hyundai,R250LC-7,,,,запчасти двигателя,форсунка,,,,,,250,hyundai,R 250LC-7,Двигатели и комплектующие,Система впуска,,2024-02-03
Гидроцилиндр стрелы JCB220/JCB240/JCB260/JCB330,jcb,JS 220,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр стрелы,,целиком,,,220,jcb,JS 220,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Водяная помпа экскаватора CAT 324 caterpillar,cat,324d,,,,запчасти двигателя,насос водяной,,,,,,324,cat,324D L,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Насос основной Hyundai R170W-9 31Q5-15030,hyundai,R170W-7,31q5-15030,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,31q5-15030,170,hyundai,R170W-7,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Натяжитель CAT 330,cat,330,,,,ходовая часть,натяжитель,натяжитель в сборе,,,,,330,cat,330,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Насос подкачки/помпа komatsu PC-300,komatsu,PC300,,,,система двигателя,топливная система,насос топливный,,целиком,,,300,komatsu,PC300,Двигатели и комплектующие,Топливная система,,2024-02-03
Вал бортового редуктора хода CAT 320,cat,320,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,320,cat,320,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Насос подкачки топлива Hitachi ZX 330-3,hitachi,ZX330,,,,система двигателя,топливная система,насос топливный,,целиком,,,330,hitachi,ZX330,Двигатели и комплектующие,Топливная система,,2024-02-03
Реле стартера экскаватора Doosan Solar,doosan,,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,датчик,,,doosan,DX450LCA-7M,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидравлический цилиндр рукояти хитачи ZX250LCN-3,hitachi,ZX250H-3,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,250,hitachi,ZX250H-3,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Крыльчатка вентилятора Doosan Solar,doosan,,,,,система двигателя,система подачи воздуха,вентилятор,,запчасти,крыльчатка,,,doosan,Daewoo SOLAR 470LC-V,Двигатели и комплектующие,Система впуска,,2024-02-03
Планетарная передача водило в сборе CAT 322,cat,322,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,шестерня,,322,cat,322,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Коленвал Doosan DX300 LCA,doosan,DX300LC-A,,,,запчасти двигателя,коленвал,,,,,,300,doosan,DX300LC-3,Двигатели и комплектующие,"Коленвалы, распредвалы и маховики",,2024-02-03
Гидронасос Hyundai R160LC-9S,hyundai,R160LC-9S,,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,,160,hyundai,R 160LC-9S,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидронасос 31N7-10011 Hyundai R250,hyundai,R250,31n7-10011,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,31n7-10011,250,hyundai,R 250LC-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Бортовая без гидромотора Komatsu PC 400-7,komatsu,PC400-7,,,,гидравлический компонент,редуктор,редуктор хода,редуктор хода без мотора,целиком,,,400,komatsu,PC400-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал гидромотора xkay-00207,hyundai,,xkay-00207,,,гидравлический компонент,гидромотор,!,,запчасти,вал,xkay-00207,,hyundai,R850LC-9 FS,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Подшипник ступицы упорный Volvo 290,volvo,EC290,,,,!,подшипник,,,,,,290,volvo,EC290,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Палец Caterpillar 329Стреловой гц - рукоять,cat,329DL,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы гидроцилиндров,палец гидроцилиндра рукоять-рукоять,,,329,cat,329D L,Для навесного оборудования,,,2024-02-03
Вторая ступень бортовой хендай R220LC-9S,hyundai,R220LC-9S,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,шестерня,,220,hyundai,R 220LC-9S,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Палец ковша CAT 320 / 0875805,cat,320,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы ковшевой обвязки,!,,875805,320,cat,320,Для навесного оборудования,,,2024-02-03
Гидроцилиндр стрелы дусан Doosan DX225NLC,doosan,DX225LCA,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр стрелы,,целиком,,,225,doosan,DX225LCA,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Вал бортовой передачи CAT 320,cat,320,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,320,cat,320,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Xkaq-00754 планетарная передача Hyundai R220-9,hyundai,R220LC-9,xkaq-00754,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,шестерня,xkaq-00754,220,hyundai,R 220LC-9S,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Водяной насос CAT,cat,,,,,запчасти двигателя,насос водяной,,,,,,,cat,365B L,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Стекло двери кабины экскаватора Doosan Solar,doosan,,,,,комплектующие рамы,стекло,стекло лобовое кабины,,,,,,doosan,Daewoo SOLAR 225LC-V SLR,Кабина,Окна и стёкла,,2024-02-03
Стекло лобовое нижнее Hyundai R250,hyundai,R250,,,,комплектующие рамы,стекло,стекло лобовое кабины,,,,,250,hyundai,R 250LC-3,Кабина,Окна и стёкла,,2024-02-03
Кардан задний Hyundai R210W-9S,hyundai,R210W-9S,,,,трансмиссия,вал карданный,,,,,,210,hyundai,R210W-9S,Трансмиссия,"Карданный вал, привод и полуось",,2024-02-03
39Q7-41100 гидромотор хода Hyundai R260LC-9S,hyundai,R260LC-9S,39q7-41100,,,гидравлический компонент,гидромотор,гидромотор хода,,целиком,,39q7-41100,260,hyundai,R 260LC-9S,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Контроллер Hyundai R250 LC-7,hyundai,R250LC-7,,,,электрическая система,контроллер,,,,,,250,hyundai,R 250LC-7,Электроника и свет,"Контроллеры, реле и датчики",,2024-02-03
31Q5-10020 гидронасос Hyundai R160LC-9S,hyundai,R160LC-9S,31q5-10020,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,31q5-10020,160,hyundai,R 160LC-9S,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидромотор хода Hyundai R290LC-7,hyundai,R290LC-7,,,,гидравлический компонент,гидромотор,гидромотор хода,,целиком,,,290,hyundai,R 290LC-7,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Контроллер 21Q6-32181,hyundai,,21q6-32181,,,электрическая система,контроллер,,,,,21q6-32181,,hyundai,R 180LC-9S,Электроника и свет,"Контроллеры, реле и датчики",,2024-02-03
Гидронасос основной EC360,volvo,EC360,,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,,360,volvo,EC360,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидромотор поворота Hyundai R210 R250 R260 R320,hyundai,R210,,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,,210,hyundai,R 210-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидромотор поворота Doosan DX420LCA 170301-00314,doosan,DX420LC,170301-00314,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,170301-00314,420,doosan,Daewoo DX420LCV,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Трапеция на экскаватор хитачи 330,hitachi,,,,,рабочее оборудование,трапеция,,,,,,,hitachi,ZX280LCN,Для навесного оборудования,,,2024-02-03
Муфта гидронасоса Hyundai R210-7,hyundai,R210-7,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,муфта,,210,hyundai,R 210-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Редуктор хода hyundai,hyundai,,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,,hyundai,R 140LCM-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Пальцы втулки ZX330-3,hitachi,ZX330,,,,рабочее оборудование,пальцы и втулки,!,,,,,330,hitachi,ZX330,Для навесного оборудования,,,2024-02-03
Поворотный редуктор Hyundai R220 31Q6-10141,hyundai,R220,31q6-10141,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,31q6-10141,220,hyundai,R220LS,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Ремкомплект джойстика Volvo EC480,volvo,EC480,,,,гидравлический компонент,джойстик,,,запчасти,ручка джойстика,,480,volvo,EC480D,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Ремкомплект бортового редуктора Hitachi ZX200,hitachi,EX200-3,,,,гидравлический компонент,гидромотор,!,,запчасти,комплект уплотнений,,200,hitachi,ZX200-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Запчасти редуктора поворота Volvo EC210,volvo,EC210,,,,гидравлический компонент,редуктор,редуктор поворота,,запчасти,!,,210,volvo,EC210,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Запчасти экскаватора hyundai,hyundai,,,,,запчасти двигателя,!,,,,,,,hyundai,R180W-9S,Двигатели и комплектующие,Двигатели в сборе,,2024-02-03
Вал гидромотора хода Hyundai R210-7,hyundai,R210-7,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,,210,hyundai,R 210-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Ремкомплект гидрораспределителя Hyundai 290,hyundai,,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,,hyundai,ROBEX 4500 LC-3,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
400914-00220 гидронасос Doosan Solar 255LC-V,doosan,SOLAR 255LC-V,400914-00220,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,400914-00220,255,doosan,SOLAR 255LC-V,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Направляющая цепи Komatsu PC220-7,komatsu,PC220-7,,,,ходовая часть,направляющая,,,,,,220,komatsu,PC220-7,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Гидростанция на хендай 31QA-10021,hyundai,,31qa-10021,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,31qa-10021,,hyundai,ROBEX 235LCR-9,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Шаговый мотор Hitachi ZX240-5G мотор газа,hitachi,ZX240H,,,,система двигателя,топливная система,шаговый мотор,,,,,240,hitachi,ZX240H,Двигатели и комплектующие,Топливная система,,2024-02-03
Насос пилотный Volvo EC220,volvo,EC220DL,,,,гидравлический компонент,пилотный насос,,,,,,220,volvo,EC220DL,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Пилотный насос Doosan DX300LCA,doosan,DX300LC-A,,,,гидравлический компонент,пилотный насос,,,,,,300,doosan,DX300LC-3,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Ремкомплект центрального коллектора Hyundai R220,hyundai,R220,,,,гидравлический компонент,центральный коллектор,коллектор,,запчасти,комплект уплотнений,,220,hyundai,R220LS,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Мотор печки Doosan DX300LCA,doosan,DX300LC-A,,,,система двигателя,печка,,,запчасти,мотор печки,,300,doosan,DX300LC-3,Двигатели и комплектующие,Система кондиционирования и отопления,,2024-02-03
Фильтра Hyundai R250,hyundai,R250,,,,запчасти двигателя,фильтра,!,,,,,250,hyundai,R 250LC-3,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Джойстик управления Hitachi ZX200-3,hitachi,EX200-3,,,,гидравлический компонент,джойстик,,,целиком,,,200,hitachi,ZX200-3,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Гидромотор поворота Volvo EC480,volvo,EC480,,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,,480,volvo,EC480D,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Натяжитель ремня Volvo BL71,volvo,BL71,,,,ходовая часть,натяжитель,натяжитель в сборе,,,,,71,volvo,BL71,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Натяжитель ремня Volvo BL71,volvo,BL71,,,,ходовая часть,натяжитель,натяжитель в сборе,,,,,71,volvo,BL71,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Мотор стеклоочистителя Hitachi ZX200-3,hitachi,EX200-3,,,,система двигателя,печка,,,запчасти,мотор печки,,200,hitachi,ZX200-3,Двигатели и комплектующие,Система кондиционирования и отопления,,2024-02-03
Водяной насос Hyundai R160-9,hyundai,R160LC-9S,,,,запчасти двигателя,насос водяной,,,,,,160,hyundai,R 160LC-9S,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Запчасти ходовой Volvo BL61,volvo,BL61,,,,ходовая часть,!,,,,,,61,volvo,BL61,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Помпа водяная CAT 336DL,cat,336,,,,запчасти двигателя,насос водяной,,,,,,336,cat,336,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Ремень генератора CAT 325,cat,325,,,,запчасти двигателя,ремни и ролики,ремень генератора,,,,,325,cat,325,Двигатели и комплектующие,ГРМ,,2024-02-03
Бортовая Volvo EC380,volvo,EC380DL,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,380,volvo,EC380DL,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Генератор Volvo EC290,volvo,EC290,,,,запчасти двигателя,генератор,,,,,,290,volvo,EC290,Двигатели и комплектующие,Стартеры и генераторы,,2024-02-03
Пальцы втулки Volvo EC220,volvo,EC220DL,,,,рабочее оборудование,пальцы и втулки,!,,,,,220,volvo,EC220DL,Для навесного оборудования,,,2024-02-03
Форсунка топливная Hyundai R210NLC-7A,hyundai,R210LC-7,,,,запчасти двигателя,форсунка,,,,,,210,hyundai,R 210LC-7,Двигатели и комплектующие,Система впуска,,2024-02-03
Стекло лобовое Doosan DX260LCA,doosan,DX260LCA,,,,комплектующие рамы,стекло,стекло лобовое кабины,,,,,260,doosan,DX260LCA,Кабина,Окна и стёкла,,2024-02-03
Термостат экскаватора Hyundai R220-9S,hyundai,R220LC-9S,,,,запчасти двигателя,термостат,,,,,,220,hyundai,R 220LC-9S,Двигатели и комплектующие,Система кондиционирования и отопления,,2024-02-03
,,,,,,,,,,,,,,,,,,,2024-02-03
,,,,,,,,,,,,,,,,,,,2024-02-03
,,,,,,,,,,,,,,,,,,,2024-02-03
,,,,,,,,,,,,,,,,,,,2024-02-03
,,,,,,,,,,,,,,,,,,,2024-02-03
,,,,,,,,,,,,,,,,,,,2024-02-03
,,,,,,,,,,,,,,,,,,,2024-02-03
,,,,,,,,,,,,,,,,,,,2024-02-03
,,,,,,,,,,,,,,,,,,,2024-02-03
Гидромотор поворота Hitachi ZX330-3,hitachi,ZX330,,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,,330,hitachi,ZX330,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
