title,marka,model,catalog_number,prices,item_id,group0,group1,group2,group3,group4,group5,parts_number_v2,number,avito_marka,avito_model,SparePartType,TechnicSparePartType,stock_id,orig_day
Пальцы стрелы Doosan Solar 225/255/340/420,doosan,SOLAR 225LL,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы стрелы,!,,,225,doosan,SOLAR 225NLC-V,Для навесного оборудования,,,2024-02-03
Пальцы ковша Doosan Solar 225/255/340/420,doosan,SOLAR 225LL,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы ковшевой обвязки,!,,,225,doosan,SOLAR 225NLC-V,Для навесного оборудования,,,2024-02-03
Насос подкачки Hitachi ZX180,hitachi,ZX180,,,,система двигателя,топливная система,насос топливный,,целиком,,,180,hitachi,ZX180W,Двигатели и комплектующие,Топливная система,,2024-02-03
Редуктор поворота Doosan Solar 225/255/340/420,doosan,SOLAR 225LL,,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,,225,doosan,SOLAR 225NLC-V,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Ремкомплект центрального коллектора Doosan Solar 2,doosan,,,,,гидравлический компонент,центральный коллектор,коллектор,,запчасти,комплект уплотнений,,,doosan,DX 55W,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Фильтра Volvo EC300,volvo,EC300DL,,,,запчасти двигателя,фильтра,!,,,,,300,volvo,EC300DL,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Фильтра Hitachi ZX180,hitachi,ZX180,,,,запчасти двигателя,фильтра,!,,,,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Помпа водяная Hitachi ZX180,hitachi,ZX180,,,,запчасти двигателя,насос водяной,,,,,,180,hitachi,ZX180W,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Втулки стрелы Hitachi ZX180,hitachi,ZX180,,,,рабочее оборудование,пальцы и втулки,втулки,втулки стрелы,!,,,180,hitachi,ZX180W,Для навесного оборудования,,,2024-02-03
Качающий узел гидронасоса Doosan Solar 225/255/340,doosan,SOLAR 225LL,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,группа вращения,,225,doosan,SOLAR 225NLC-V,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Запчасти двигателя Hyundai R300LC-9S,hyundai,R300LC-9S,,,,запчасти двигателя,!,,,,,,300,hyundai,R 300LC-9S,Двигатели и комплектующие,Двигатели в сборе,,2024-02-03
Трапеция ковша Hitachi ZX180,hitachi,ZX180,,,,рабочее оборудование,трапеция,,,,,,180,hitachi,ZX180W,Для навесного оборудования,,,2024-02-03
Термостат Doosan DX300LCA,doosan,DX300LC-A,,,,запчасти двигателя,термостат,,,,,,300,doosan,DX300LC-3,Двигатели и комплектующие,Система кондиционирования и отопления,,2024-02-03
Втулки рукояти Doosan DX300LCA,doosan,DX300LC-A,,,,рабочее оборудование,пальцы и втулки,втулки,втулки стрелы,втулка стрела-рукоять,,,300,doosan,DX300LC-3,Для навесного оборудования,,,2024-02-03
Стартер Hitachi ZX240-3,hitachi,ZX240H,,,,запчасти двигателя,стартер,,,,,,240,hitachi,ZX240H,Двигатели и комплектующие,Стартеры и генераторы,,2024-02-03
Гидроцилиндр ковша Hitachi ZX240-3,hitachi,ZX240H,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,240,hitachi,ZX240H,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Ремкомплект гидрораспределителя Doosan Solar 255,doosan,SOLAR 255LC-V,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,255,doosan,SOLAR 255LC-V,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
